timestamp,raw_adc,filtered_value
11381,7723,-1786.50
11391,11764,2340.11
11402,8202,-127.65
11412,9418,-788.04
11422,10052,598.21
11432,7867,-1593.62
11442,11673,2163.86
11452,8205,-389.34
11462,9359,-1014.29
11472,10688,1309.17
11482,7793,-1522.28
11492,11198,1197.58
11503,8348,-653.65
11513,9453,-729.12
11523,11372,2328.46
11533,6489,-2970.13
11543,11012,220.02
11553,9109,634.25
11563,9379,93.16
11573,11369,2353.74
11583,6481,-3122.47
11593,11157,366.14
11604,9749,1489.78
11614,8114,-1402.11
11624,11369,1539.46
11634,7149,-2019.40
11644,11093,942.80
11654,9751,1359.53
11664,7709,-2144.35
11674,11532,1533.37
11684,8056,-647.21
11694,9785,-336.39
11705,9758,508.12
11715,7748,-1876.05
11725,12066,2692.38
11735,8151,-121.77
11745,9502,-864.78
11755,10005,440.07
11765,7952,-1576.34
11775,11481,1938.58
11785,8206,-460.28
11795,9455,-795.47
11806,10760,1554.01
11816,7953,-1261.63
11826,11076,1061.14
11836,8425,-698.41
11846,9590,-558.98
11856,11373,2344.31
11866,6702,-2819.95
11876,11171,359.39
11886,9137,516.00
11896,9154,-442.09
11907,11376,2091.32
11917,6507,-3083.69
11927,11209,501.06
11937,9750,1531.50
11947,8355,-1111.44
11957,11376,1615.31
11967,6985,-2334.96
11977,10715,317.38
11987,9763,1322.65
11997,7808,-1709.04
12008,11510,1813.68
12018,8053,-545.61
12028,10132,156.55
12038,9759,660.14
12048,7779,-1998.15
12058,11385,1657.44
12068,8195,-387.11
12078,9392,-690.99
12088,10093,834.00
12098,7940,-1344.75
12109,11675,2275.59
12119,8202,-358.41
12129,9383,-956.20
12139,10678,1338.69
12149,7749,-1564.92
12159,11138,1119.15
12169,8323,-669.90
12179,9573,-524.89
12189,11369,2416.70
12199,6913,-2479.42
12210,10995,247.88
12220,8973,169.65
12230,9215,-423.97
12240,11375,2231.69
12250,6490,-3031.90
12260,11227,529.74
12270,9757,1551.06
12280,8429,-1021.29
12290,11374,1615.06
12300,7081,-2281.56
12311,10892,494.47
12321,9762,1260.27
12331,7857,-1849.78
12341,11509,1651.08
12351,8003,-743.67
12361,9928,-202.71
12371,9766,591.82
12381,7811,-1829.99
12391,11437,1868.01
12401,8233,-249.49
12412,9349,-710.40
12422,10023,737.23
12432,7963,-1300.53
12442,11707,2401.59
12452,8204,-294.77
12462,9363,-977.23
12472,10707,1359.54
12482,7914,-1348.40
12492,11220,1248.61
12502,8514,-534.77
12513,9575,-648.86
12523,11367,2168.99
12533,6934,-2656.13
12543,11020,157.72
12553,9181,343.29
12563,8640,-1160.99
12573,11369,1914.36
12583,6564,-2732.77
12593,11182,795.11
12604,9748,1689.74
12614,8204,-1186.14
12624,11366,1667.13
12634,7162,-1948.93
12644,11046,916.74
12654,9757,1367.78
12664,7792,-2011.08
12674,11770,1865.48
12684,8009,-700.24
12694,9845,-483.13
12705,9753,346.98
12715,7834,-1903.85
12725,11369,1748.70
12735,8218,-332.90
12745,9397,-656.11
12755,10115,893.88
12765,7898,-1354.24
12775,11661,2273.28
12785,8196,-322.14
12795,9458,-807.94
12806,10888,1665.01
12816,7596,-1715.61
12826,11108,891.76
12836,8561,-436.49
12846,9574,-439.93
12856,11368,2291.33
12866,6492,-3150.39
12876,11182,286.63
12886,9308,838.92
12896,9268,-152.65
12907,11377,2069.98
12917,6579,-3143.98
12927,11110,278.95
12937,9753,1399.53
12947,7969,-1621.81
12957,11370,1508.69
12967,7223,-1813.87
12977,10666,558.99
12987,9757,1315.04
12997,7779,-1766.25
13008,11607,1947.81
13018,8036,-500.51
13028,9876,-199.25
13038,9763,554.65
13048,7800,-1848.86
13058,11816,2330.29
13068,8202,-215.46
13078,9440,-871.06
13088,10155,660.12
13098,7985,-1462.22
13109,11905,2405.02
13119,8199,-467.27
13129,9510,-1058.06
13139,10866,1391.00
13149,7740,-1722.39
13159,11138,870.90
13169,8302,-872.77
13179,9585,-596.02
13189,11375,2418.88
13199,7043,-2296.91
13209,11070,409.38
13220,9029,234.53
13230,9426,-207.07
13240,11370,2219.20
13250,6402,-3293.62
13260,11137,270.29
13270,9750,1512.08
13280,8729,-565.23
13290,11371,1772.39
13300,7040,-2450.09
13310,10792,228.76
13321,9764,1203.88
13331,7957,-1658.26
13341,11478,1704.48
13351,7948,-838.57
13361,10138,32.60
13371,9762,685.65
13381,7796,-1923.45
13391,11285,1580.57
13401,8196,-378.14
13411,9458,-510.40
13422,10040,890.34
13432,8023,-1216.36
13442,11712,2388.74
13452,8210,-338.63
13462,9377,-1000.68
13472,10632,1239.61
13482,7751,-1599.72
13492,11207,1213.00
13502,8370,-585.99
13513,9471,-682.00
13523,11372,2320.70
13533,7206,-2110.42
13543,11085,461.04
13553,8982,41.76
13563,9052,-854.84
13573,11371,2022.79
13583,6481,-3038.95
13593,11149,477.73
13603,9726,1526.77
13613,8289,-1126.43
13624,11368,1676.53
13634,7210,-1949.91
13644,10857,640.55
13654,9744,1258.22
13664,7817,-1893.32
13674,11354,1480.43
13684,8008,-728.56
13694,10099,131.49
13704,9757,720.44
13714,7767,-1944.00
13725,12064,2550.05
13735,8148,-228.64
13745,9525,-904.67
13755,9899,260.97
13765,7931,-1687.06
13775,11312,1740.86
13785,8181,-481.13
13795,9473,-636.35
13805,10674,1602.10
13815,7732,-1462.42
13826,11112,1162.52
13836,8293,-621.75
13846,9579,-425.83
13856,11369,2509.23
13866,6764,-2607.82
13876,10992,233.84
13886,8996,295.29
13896,9246,-289.75
13906,11375,2267.57
13916,6480,-3067.00
13927,11250,523.83
13937,9736,1506.92
13947,8455,-1033.20
13957,11373,1588.91
13967,6960,-2472.78
13977,10911,449.21
13987,9754,1298.68
13997,7860,-1804.39
14007,11433,1581.62
14017,7989,-765.94
14028,10008,-49.34
14038,9759,668.87
14048,7758,-1902.14
14058,11699,2158.18
14068,8187,-221.60
14078,9537,-621.44
14088,9947,562.05
14098,7999,-1458.24
14108,11667,2245.85
14118,8221,-361.50
14129,9393,-969.51
14139,10650,1276.00
14149,7512,-1887.30
14159,11011,913.81
14169,8440,-390.36
14179,9593,-224.25
14189,11377,2549.86
14199,6892,-2469.90
14209,11054,336.17
14220,9102,375.76
14230,9065,-594.20
14240,11372,2075.26
14250,6541,-2996.01
14260,11227,556.94
14270,9746,1505.23
14280,8546,-925.68
14290,11371,1613.97
