timestamp,raw_adc,filtered_value
1959,12137,15048.92
1962,12137,18029.55
1963,12137,10688.37
1978,12137,3060.23
1983,12137,-1500.15
1988,12137,-4131.01
1992,12137,-5933.07
1997,12137,-7047.35
2002,12137,-7394.11
2006,12137,-7075.30
2011,12137,-6301.51
2016,12137,-5264.25
2020,12137,-4106.63
2025,12137,-2938.96
2030,12137,-1847.58
2034,12137,-893.80
2039,12137,-113.50
2044,12137,479.65
2048,12137,889.22
2053,12137,1131.25
2058,12137,1229.94
2062,12137,1213.95
2067,12137,1113.16
2072,12137,956.17
2076,12137,768.52
2081,12137,571.63
2086,12137,382.21
2090,12137,212.24
2095,12137,69.29
2100,12137,-42.94
2104,12137,-123.94
2109,12137,-175.60
2113,12137,-201.48
2118,12137,-206.14
2123,12137,-194.56
2127,12137,-171.64
2132,12137,-141.90
2137,12137,-109.23
2141,12137,-76.74
2146,12137,-46.78
2151,12137,-20.89
2155,12137,0.05
2160,12137,15.74
2165,12137,26.35
2169,12137,32.38
2174,12137,34.53
2179,12137,33.62
2183,12137,30.47
2188,12137,25.88
2193,12137,20.55
2197,12137,15.05
2202,12137,9.83
2207,12137,5.19
2211,12137,1.34
2216,12137,-1.65
2221,12137,-3.77
2225,12137,-5.08
2230,12137,-5.69
2235,12137,-5.73
2239,12137,-5.35
2244,12137,-4.67
2249,12137,-3.81
2253,12137,-2.90
2258,12137,-2.00
2263,12137,-1.18
2267,12137,-0.47
2272,12137,0.09
2277,12137,0.50
2281,12137,0.77
2286,12137,0.92
2291,12137,0.97
2295,12137,0.93
2300,12137,0.83
2305,12137,0.70
2309,12137,0.55
2314,12137,0.40
2319,12137,0.26
2323,12137,0.13
2328,12137,0.03
2333,12137,-0.05
2337,12137,-0.11
2342,12137,-0.14
2347,12137,-0.16
2351,12137,-0.16
2356,12137,-0.15
2361,12137,-0.13
2365,12137,-0.11
2370,12137,-0.08
2375,12137,-0.05
2379,12137,-0.03
2384,12137,-0.01
2389,12137,0.00
2393,12137,0.02
2398,12137,0.02
2403,12137,0.03
2407,12137,0.03
2412,12137,0.03
2417,12137,0.03
2421,12137,0.02
2426,12137,0.02
2431,12137,0.02
2435,12137,0.01
2440,12137,0.01
2445,12137,0.00
2449,12137,0.00
2454,12137,-0.00
2459,12137,-0.00
2463,12137,-0.01
2468,12137,-0.01
2473,12137,-0.01
2477,12137,-0.01
2482,12137,-0.01
2487,12137,-0.01
2491,12137,-0.01
2496,12137,-0.01
2501,12137,-0.01
2505,12137,-0.01
2510,12137,-0.01
2515,12137,-0.01
2519,12137,-0.01
2524,12137,-0.01
2529,12137,-0.01
2533,12137,-0.01
2538,12137,-0.01
2543,12137,-0.01
2547,12137,-0.01
2552,12137,-0.01
2557,12137,-0.01
2561,12137,-0.01
2566,12137,-0.01
2571,12137,-0.01
2575,12137,-0.01
2580,12137,-0.01
2585,12137,-0.01
2589,12137,-0.01
2594,12137,-0.01
2599,12137,-0.01
2603,12137,-0.01
2608,12137,-0.01
2613,12137,-0.01
2617,12137,-0.01
2622,12137,-0.01
2627,12137,-0.01
2631,12137,-0.01
2636,12137,-0.01
2641,12137,-0.01
2645,12137,-0.01
2650,12137,-0.01
2655,12137,-0.01
2659,12137,-0.01
2664,12137,-0.01
2669,12137,-0.01
2673,12137,-0.01
2678,12137,-0.01
2683,12137,-0.01
2687,12137,-0.01
2692,12137,-0.01
2697,12137,-0.01
2701,12137,-0.01
2706,12137,-0.01
2711,12137,-0.01
2715,12137,-0.01
2720,12137,-0.01
2725,12137,-0.01
2729,12137,-0.01
2734,12137,-0.01
2739,12137,-0.01
2743,12137,-0.01
2748,12137,-0.01
2753,12137,-0.01
2757,12137,-0.01
2762,12137,-0.01
2767,12137,-0.01
2771,12137,-0.01
2776,12137,-0.01
2781,12137,-0.01
2785,12137,-0.01
2790,12137,-0.01
2795,12137,-0.01
2799,12137,-0.01
2804,12137,-0.01
2809,12137,-0.01
2813,12137,-0.01
2818,12137,-0.01
2823,12137,-0.01
2827,12137,-0.01
2832,12137,-0.01
2837,12137,-0.01
2841,12137,-0.01
2846,12137,-0.01
2851,12137,-0.01
2855,12137,-0.01
2860,12137,-0.01
2865,12137,-0.01
2869,12137,-0.01
2874,12137,-0.01
2879,12137,-0.01
2883,12137,-0.01
2888,12137,-0.01
2893,12137,-0.01
2897,12137,-0.01
2902,12137,-0.01
2907,12137,-0.01
2911,12137,-0.01
2916,12137,-0.01
2921,12137,-0.01
2925,12137,-0.01
2930,12137,-0.01
2935,12137,-0.01
2939,12137,-0.01
2944,12137,-0.01
2949,12137,-0.01
2953,12137,-0.01
2958,12137,-0.01
2963,12137,-0.01
2967,12137,-0.01
2972,12137,-0.01
2977,12137,-0.01
2981,12137,-0.01
2986,12137,-0.01
2991,12137,-0.01
2995,12137,-0.01
3000,12137,-0.01
3005,12137,-0.01
3009,12137,-0.01
3014,12137,-0.01
3019,12137,-0.01
3023,12137,-0.01
3028,12137,-0.01
3033,12137,-0.01
3037,12137,-0.01
3042,12137,-0.01
3047,12137,-0.01
3051,12137,-0.01
3056,12137,-0.01
3061,12137,-0.01
3065,12137,-0.01
3070,12137,-0.01
3075,12137,-0.01
3079,12137,-0.01
3084,12137,-0.01
3089,12137,-0.01
3093,12137,-0.01
3098,12137,-0.01
3103,12137,-0.01
3107,12137,-0.01
3112,12137,-0.01
3117,12137,-0.01
3121,12137,-0.01
3126,12137,-0.01
3131,12137,-0.01
3135,12137,-0.01
3140,12137,-0.01
3145,12137,-0.01
3149,12137,-0.01
3154,12137,-0.01
3159,12137,-0.01
3163,12137,-0.01
3168,12137,-0.01
3173,12137,-0.01
3177,12137,-0.01
3182,12137,-0.01
3187,12137,-0.01
3191,12137,-0.01
3196,12137,-0.01
3201,12137,-0.01
3205,12137,-0.01
3210,12137,-0.01
3215,12137,-0.01
3219,12137,-0.01
3224,12137,-0.01
3229,12137,-0.01
3233,12137,-0.01
3238,12137,-0.01
3243,12137,-0.01
3247,12137,-0.01
3252,12137,-0.01
3257,12137,-0.01
3261,12137,-0.01
3266,12137,-0.01
3271,12137,-0.01
3275,12137,-0.01
3280,12137,-0.01
3285,12137,-0.01
3289,12137,-0.01
3294,12137,-0.01
3299,12137,-0.01
3303,12137,-0.01
3308,12137,-0.01
3313,12137,-0.01
3317,12137,-0.01
3322,12137,-0.01
3327,12137,-0.01
3331,12137,-0.01
3336,12137,-0.01
3341,12137,-0.01
3345,12137,-0.01
3350,12137,-0.01
3355,12137,-0.01
3359,12137,-0.01
3364,12137,-0.01
3369,12137,-0.01
3373,12137,-0.01
3378,12137,-0.01
3383,12137,-0.01
3387,12137,-0.01
3392,12137,-0.01
3397,12137,-0.01
3401,12137,-0.01
3406,12137,-0.01
3411,12137,-0.01
3415,12137,-0.01
3420,12137,-0.01
3425,12137,-0.01
3429,12137,-0.01
3434,12137,-0.01
3439,12137,-0.01
3443,12137,-0.01
3448,12137,-0.01
3453,12137,-0.01
3457,12137,-0.01
3462,12137,-0.01
3467,12137,-0.01
3471,12137,-0.01
3476,12137,-0.01
3481,12137,-0.01
3485,12137,-0.01
3490,12137,-0.01
3495,12137,-0.01
3499,12137,-0.01
3504,12137,-0.01
3509,12137,-0.01
3513,12137,-0.01
3518,12137,-0.01
3523,12137,-0.01
3527,12137,-0.01
3532,12137,-0.01
3537,12137,-0.01
3541,12137,-0.01
3546,12137,-0.01
3551,12137,-0.01
3555,12137,-0.01
3560,12137,-0.01
3565,12137,-0.01
3569,12137,-0.01
3574,12137,-0.01
3579,12137,-0.01
3583,12137,-0.01
3588,12137,-0.01
3593,12137,-0.01
3597,12137,-0.01
3602,12137,-0.01
3607,12137,-0.01
3611,12137,-0.01
3616,12137,-0.01
3621,12137,-0.01
3625,12137,-0.01
3630,12137,-0.01
3635,12137,-0.01
3639,12137,-0.01
3644,12137,-0.01
