timestamp,raw_adc,filtered_value
1917,11841,14681.90
1919,6334,10761.60
1927,9364,6003.99
1937,8796,1932.69
1947,6253,-4180.64
1957,12502,884.82
1967,6685,-4600.90
1978,8483,-6694.38
1988,9837,-4186.98
1998,6586,-6839.23
2008,11785,-1355.75
2018,6842,-4444.83
2028,8459,-4454.05
2038,10721,256.46
2048,6575,-2871.38
2058,10726,611.14
2068,7801,-444.20
2079,8766,-305.85
2089,10961,3198.67
2099,5829,-2194.16
2109,10606,1186.79
2119,8720,1671.89
2129,8699,610.52
2139,11000,2947.73
2149,5698,-3001.57
2159,10860,807.75
2169,9057,1576.82
2180,7949,-968.37
2190,11034,1865.05
2200,6341,-2565.21
2210,10882,844.51
2220,9127,1116.07
2230,7062,-2608.27
2240,11678,2085.38
2250,7117,-1091.71
2260,9533,-544.31
2270,9194,325.68
2281,6945,-2399.59
2291,12119,3215.47
2301,7405,-142.39
2311,9165,-864.70
2321,9837,834.57
2331,7216,-1828.29
2341,12103,3041.83
2351,7464,-553.33
2361,8983,-1458.18
2371,10659,1540.64
2382,7370,-1519.30
2392,11096,1312.44
2402,7930,-844.73
2412,9083,-1006.58
2422,11147,2323.45
2432,6655,-2359.35
2442,10770,383.66
2452,8624,98.70
2462,9188,-164.54
2472,11162,2395.47
2483,6222,-3113.39
2493,10955,372.16
2503,9368,1291.83
2513,8652,-502.27
2523,11184,1866.62
2533,6433,-2981.60
2543,11035,586.89
2553,9414,1284.53
2563,7787,-1741.30
2573,11283,1622.46
2584,7388,-1338.43
2594,10559,671.03
2604,9450,876.82
2614,7305,-2494.72
2624,11959,2381.69
2634,7685,-472.39
2644,9265,-969.63
2654,9652,371.56
2664,7487,-1779.38
2674,12206,3236.94
2685,7823,-111.28
2695,9131,-1253.14
2705,10420,1073.54
2715,7649,-1459.30
2725,11605,2048.44
2735,7856,-839.06
2745,9211,-1224.30
2755,11078,1998.00
2765,7409,-1614.91
2775,10934,715.74
2786,8650,-281.89
2796,9378,-467.28
2806,11254,2204.13
2816,6463,-3080.02
2826,10992,222.39
2836,9384,1024.14
2846,9148,-101.90
2856,11262,1988.09
2866,6569,-3099.26
2876,11148,451.23
2887,9565,1266.52
2897,8113,-1483.54
2907,11275,1506.11
2917,7490,-1518.52
2927,10807,787.69
2937,9588,970.29
2947,7532,-2390.31
2957,12077,2348.26
2967,7854,-503.80
2978,9579,-783.69
2988,9631,184.80
2998,7606,-1973.51
3008,12094,2893.86
3018,7991,-94.89
3028,9284,-1040.58
3038,10290,905.81
3048,7803,-1418.18
3058,11618,2116.59
3068,8010,-643.59
3079,9462,-880.04
3089,11143,2072.69
3099,7689,-1450.43
3109,11021,694.83
3119,8612,-589.57
3129,9478,-631.22
3139,11296,2123.99
3149,6756,-2835.71
3159,11133,354.62
3169,9440,891.32
3180,8861,-718.28
3190,11301,1763.26
3200,6773,-2765.07
3210,11183,667.88
3220,9640,1334.87
3230,8363,-1220.48
3240,11309,1558.92
3250,7203,-2028.51
3260,11015,813.10
3270,9658,1192.07
3281,7706,-2140.21
3291,11629,1757.82
3301,7886,-734.90
3311,10043,-47.71
3321,9669,554.70
3331,7667,-2042.07
3341,12076,2650.60
3351,8079,-159.07
3361,9414,-944.69
3372,10084,577.62
3382,7872,-1553.39
3392,11800,2350.80
3402,8072,-500.96
3412,9400,-1042.79
3422,10792,1486.97
3432,7781,-1461.38
3442,11187,1150.24
3452,8385,-643.85
3462,9546,-606.04
3473,11325,2280.35
3483,6891,-2555.66
3493,10984,245.17
3503,8937,163.21
3513,9485,-55.04
3523,11326,2295.97
3533,6582,-3038.08
3543,11170,383.98
3553,9678,1344.58
3563,8650,-806.74
3573,11329,1648.56
3584,6952,-2544.69
3594,10899,386.53
3604,9694,1223.35
3614,8018,-1597.30
3624,11344,1570.85
3634,7823,-1031.58
3644,10561,591.58
3654,9700,859.85
3664,7677,-2223.05
3674,11887,2135.93
3685,8064,-404.03
3695,9824,-423.54
3705,9731,303.42
3715,7879,-1843.21
3725,12145,2763.25
3735,8132,-242.69
3745,9330,-1243.14
3755,10503,909.91
3765,7829,-1552.08
3775,11437,1639.11
3786,8135,-737.91
3796,9434,-874.37
3806,11168,2112.40
3816,7340,-1847.99
3826,10946,563.81
3836,8843,-41.29
3846,9468,-240.80
3856,11338,2293.64
3866,6589,-2993.26
3876,11168,383.38
3887,9674,1313.72
3897,8751,-705.10
3907,11345,1680.97
3917,6870,-2712.23
3927,10984,390.36
3937,9715,1265.03
3947,8002,-1644.21
3957,11388,1565.47
3967,7815,-1060.58
3978,10321,257.65
3988,9723,806.73
3998,7706,-2043.91
4008,11705,2055.70
4018,8113,-323.29
4028,9605,-537.73
4038,9738,375.26
4048,7876,-1649.45
4058,11708,2388.58
4068,8161,-215.82
4079,9358,-886.37
4089,10457,1139.31
4099,7905,-1339.87
4109,11479,1784.99
4119,8155,-704.52
4129,9487,-870.27
4139,11238,2117.93
4149,7315,-1988.31
4159,11054,526.71
4169,8634,-405.65
4180,9377,-565.34
4190,11350,2271.67
4200,6603,-2881.43
4210,11104,378.23
4220,9408,1000.13
4230,9184,-167.67
4240,11356,2034.49
4250,6719,-2936.98
4260,11215,497.95
4270,9721,1333.99
4281,8265,-1404.06
4291,11354,1460.54
4301,7270,-1996.06
4311,10843,569.71
4321,9731,1159.40
4331,7796,-1972.41
4341,11527,1685.87
4351,8058,-591.04
4361,9756,-342.75
4371,9731,509.22
4382,7806,-1746.37
4392,12057,2769.32
4402,8161,-90.12
4412,9362,-1030.61
4422,10326,804.37
4432,7883,-1500.87
4442,11574,1924.53
4452,8158,-613.84
4462,9510,-853.28
4473,11194,2042.16
4483,7674,-1569.33
4493,11040,624.40
4503,8757,-437.75
4513,9545,-516.83
4523,11354,2138.51
4533,6662,-3040.07
4543,11090,186.85
4553,9486,946.59
4564,8884,-606.35
4574,11353,1873.57
4584,6745,-2776.21
4594,11087,527.90
4604,9728,1432.48
4614,8157,-1370.10
4624,11347,1584.88
4634,7531,-1490.73
4644,10390,226.10
4654,9731,990.23
4665,7756,-1854.26
4675,11841,2280.40
4685,8109,-308.13
4695,9670,-556.90
4705,9743,304.40
4715,7860,-1768.63
4725,12109,2792.12
4735,8202,-123.43
4745,9388,-1117.92
4756,10369,736.49
4766,7842,-1646.96
4776,11353,1543.69
4786,8150,-720.83
4796,9497,-746.75
4806,11128,2105.39
4816,7821,-1292.79
4826,11012,748.65
4836,8826,-337.19
4846,9593,-434.97
4857,11352,2122.27
4867,6610,-3165.97
4877,11075,100.09
4887,9401,828.28
4897,9040,-424.66
4907,11349,1960.10
4917,6645,-2945.84
4927,11143,506.74
4937,9730,1471.78
4948,8512,-918.78
4958,11349,1662.77
4968,7566,-1671.89
4978,10817,537.10
4988,9735,945.07
4998,7742,-2227.19
5008,11835,1934.17
5018,8042,-585.33
5028,10016,-238.80
5038,9740,379.73
5049,7784,-2041.08
5059,12000,2472.18
5069,8178,-196.30
5079,9483,-889.33
5089,10308,824.09
5099,7901,-1531.17
5109,11734,2106.53
5119,8169,-546.39
5129,9452,-985.02
5139,11085,1827.73
5150,7486,-1816.63
5160,11100,760.11
5170,8721,-249.13
5180,9578,-330.55
5190,11355,2257.52
5200,7022,-2526.08
5210,11144,385.65
5220,9511,800.17
5230,8892,-839.16
5241,11359,1693.32
5251,6791,-2852.94
5261,11199,571.90
5271,9733,1358.98
5281,8281,-1361.37
5291,11353,1510.05
5301,7442,-1729.96
5311,11028,896.53
5321,9737,1162.39
5331,7755,-2192.75
5342,11865,1951.59
5352,8011,-619.72
5362,10212,-12.02
5372,9747,442.93
5382,7809,-2118.25
5392,12056,2423.24
5402,8175,-279.95
5412,9369,-1127.30
5422,10336,756.08
5433,7986,-1395.25
5443,11766,2198.81
5453,8178,-560.63
5463,9398,-1103.00
5473,10913,1569.45
5483,7306,-2058.08
5493,11077,827.25
5503,8561,-209.62
5513,9570,-166.51
5523,11353,2490.12
5533,6918,-2457.67
5544,11084,415.23
5554,9219,561.54
5564,9552,45.68
5574,11355,2109.35
5584,6566,-3323.26
5594,11194,198.35
5604,9731,1279.16
5614,8556,-1018.87
5624,11358,1549.35
5634,7241,-2199.94
5645,10919,491.53
5655,9742,1129.56
5665,8006,-1765.61
5675,11466,1608.75
5685,8055,-762.20
5695,10445,417.38
5705,9745,675.00
5715,7746,-2227.99
5725,12036,2301.96
5735,8136,-333.52
5746,9477,-965.47
5756,10152,599.58
5766,7999,-1461.13
5776,12203,2801.54
5786,8188,-365.42
5796,9367,-1361.06
5806,10617,933.81
5816,7653,-1840.58
5826,11350,1357.48
5836,8366,-463.42
5847,9546,-556.52
5857,11362,2357.56
5867,7428,-1816.82
5877,11075,546.20
5887,9002,-10.47
5897,9644,-190.08
5907,11362,2119.73
5917,6794,-3024.22
5927,11179,222.42
5937,9727,1132.80
5948,8921,-672.79
5958,11366,1620.52
5968,6976,-2738.93
5978,11240,609.49
5988,9745,1257.17
5998,8134,-1681.17
6008,11368,1397.72
6018,8003,-989.27
6028,10703,695.98
6039,9742,795.00
6049,7716,-2355.01
6059,11893,2011.90
6069,8144,-382.70
6079,9503,-827.34
6089,9832,316.77
6099,7939,-1557.49
6109,12360,3214.80
6119,8191,-44.79
6129,9373,-1253.07
6139,10581,908.70
6150,7799,-1656.15
6160,11826,2012.72
6170,8202,-625.38
6180,9533,-1005.10
6190,11280,1971.29
6200,7485,-1897.14
6210,11017,450.47
6220,8866,-251.56
6230,9546,-364.70
6240,11366,2198.01
6251,6700,-2965.60
6261,11163,325.67
6271,9545,1063.72
6281,9228,-187.23
6291,11361,1909.92
6301,6876,-2863.06
6311,10990,197.28
6321,9741,1199.19
6331,8534,-1008.82
6341,11369,1652.08
6352,7613,-1643.56
6362,10960,693.51
6372,9744,956.41
6382,7746,-2316.58
6392,11956,2005.82
6402,8017,-619.35
6412,9652,-772.50
6422,9757,261.13
6432,7821,-1781.29
6442,11432,2004.91
6453,8181,-210.65
6463,9437,-529.37
6473,10285,1203.52
6483,7887,-1262.94
6493,11771,2344.77
6503,8179,-390.02
6513,9423,-965.33
6523,10992,1695.69
6533,7861,-1401.22
6544,11024,766.72
6554,8763,-452.82
6564,9485,-669.27
6574,11357,2060.20
6584,6961,-2682.36
6594,11035,184.01
6604,9336,546.76
6614,9548,4.33
6624,11353,2033.89
6634,6722,-3166.51
6644,11171,226.36
6655,9730,1229.50
6665,8674,-891.24
6675,11354,1600.75
6685,7272,-2187.23
6695,11049,637.48
6705,9742,1148.52
6715,7791,-2109.04
6725,11765,1857.51
6735,8072,-569.35
