timestamp,raw_adc,filtered_value
1938,5368,6655.90
1939,10658,14533.36
1948,8693,10149.16
1958,6651,561.16
1968,11888,2399.93
1978,6501,-3674.54
1988,10034,-3706.47
1998,8806,-4479.60
2008,6423,-8359.54
2018,12320,-1748.28
2028,6721,-5241.78
2038,9763,-4096.71
2048,8937,-2926.35
2058,6547,-5240.49
2068,12476,2125.00
2078,6862,-1255.52
2088,9582,-716.97
2098,9281,633.53
2108,6678,-2150.57
2119,12643,4480.23
2129,7015,383.65
2139,9372,-135.39
2149,9471,1106.20
2159,6821,-1849.18
2169,12725,4346.20
2179,7114,-63.34
2189,9314,-915.87
2199,9514,367.67
2209,6902,-2418.32
2219,12699,3732.34
2229,7213,-501.90
2239,9650,-898.23
2249,9496,85.37
2259,6977,-2763.44
2269,12665,3396.02
2279,7313,-566.48
2289,9360,-1280.20
2299,9604,125.91
2309,7076,-2413.66
2319,12689,3650.36
2329,7376,-382.91
2339,9556,-946.44
2349,9657,296.59
2359,7155,-2362.97
2369,12695,3579.13
2379,7459,-387.00
2389,9287,-1342.62
2399,10036,597.10
2409,7251,-2074.31
2419,12498,3246.81
2429,7541,-554.59
2439,9304,-1335.74
2449,10200,804.28
2459,7368,-1915.14
2469,12437,3081.61
2479,7597,-670.92
2489,9131,-1616.99
2499,10275,803.21
2509,7433,-1748.21
2519,12252,2916.79
2529,7661,-652.78
2539,9182,-1438.06
2549,10337,982.89
2559,7511,-1615.44
2569,12111,2728.64
2579,7712,-697.59
2589,9240,-1327.72
2599,10578,1317.28
2609,7567,-1526.83
2619,11948,2349.10
2629,7751,-900.33
2639,9126,-1500.45
2649,10715,1454.90
2659,7662,-1324.35
2669,11707,2049.94
2679,7827,-961.27
2689,9218,-1290.92
2699,10982,1888.59
2709,7667,-1271.30
2720,11658,1795.76
2730,7985,-956.33
2740,9219,-1320.30
2750,11117,1935.64
2760,7645,-1385.47
2770,11503,1444.47
2780,8157,-884.59
2790,9241,-1202.47
2800,11153,1965.38
2810,7659,-1417.58
2820,11493,1388.97
2830,8266,-773.53
2840,9324,-1066.39
2850,11238,2044.40
2860,7543,-1636.05
2870,11299,1000.91
2880,8449,-605.72
2890,9359,-828.29
2900,11260,2117.11
2910,7408,-1840.70
2920,11174,775.22
2930,8630,-340.52
2940,9427,-537.76
2950,11271,2168.84
2960,7286,-2066.30
2970,11293,826.02
2980,8772,-97.02
2990,9447,-498.03
3000,11277,2042.87
3010,7287,-2203.07
3020,10978,345.08
3030,8757,-249.18
3040,9477,-311.95
3050,11281,2239.30
3060,7359,-2010.89
3070,11049,508.72
3080,8796,-176.30
3090,9505,-312.83
3100,11287,2185.91
3110,7145,-2346.80
3120,11004,338.23
3130,8996,141.89
3140,9524,-114.86
3150,11292,2158.33
3160,7034,-2573.47
3170,11004,254.91
3180,9240,484.07
3190,9555,33.02
3200,11299,2050.98
3210,6920,-2873.25
3221,11036,162.47
3231,9483,803.71
3241,9482,16.00
3251,11302,1887.36
3261,6938,-2956.36
3271,11067,171.63
3281,9586,920.26
3291,9456,-22.55
3301,11307,1805.07
3311,6893,-3059.47
3321,11074,156.95
3331,9567,928.54
3341,9464,16.34
3351,11309,1848.93
3361,6809,-3128.76
3371,11089,183.30
3381,9590,1036.47
3391,9354,-49.70
3401,11309,1845.99
3411,7023,-2788.21
3421,11108,334.99
3431,9663,1046.06
3441,9229,-312.31
3451,11316,1695.83
3461,6970,-2876.18
3471,11151,378.45
3481,9668,1085.47
3491,9106,-467.46
3501,11319,1656.67
3511,6979,-2792.58
3521,11184,502.37
3531,9673,1145.93
3541,9091,-477.80
3551,11323,1655.42
3561,7249,-2447.57
3571,11227,628.06
3581,9677,996.29
3591,8882,-937.73
3601,11326,1469.61
3611,7232,-2426.33
3621,11279,759.33
3631,9680,1060.46
3641,8581,-1305.36
3651,11329,1402.05
3661,7557,-1825.20
3671,11221,973.68
3681,9687,985.27
3691,8269,-1783.73
3702,11542,1552.74
3712,7677,-1454.56
3722,11179,992.63
3732,9692,863.24
3742,8171,-1990.33
3752,11524,1467.66
3762,7770,-1312.28
3772,11109,972.88
3782,9695,818.37
3792,8060,-2129.80
3802,11641,1604.60
3812,7837,-1118.28
3822,11030,898.27
3832,9700,738.07
3842,7891,-2347.82
3852,11949,1960.92
3862,7939,-807.34
3872,10829,592.12
3882,9705,500.76
3892,7902,-2355.24
3902,12088,2179.15
3912,7971,-720.51
3922,10677,323.05
3932,9707,360.72
3942,7855,-2384.07
3952,12201,2371.14
3962,8011,-576.37
3972,10576,192.24
3982,9712,287.33
3992,7807,-2416.09
4002,12289,2514.87
4012,8026,-480.50
4022,10443,21.06
4032,9723,231.86
4042,7773,-2398.91
4052,12480,2807.75
4062,8074,-320.87
4072,10100,-472.01
4082,9835,159.54
4092,7799,-2220.77
4102,12510,2945.04
4112,8120,-253.77
4122,9919,-718.43
4132,10008,280.22
4143,7889,-1995.93
4153,12688,3170.44
4163,8117,-329.87
4173,9877,-978.26
4183,10102,219.91
4193,7855,-2089.96
4203,12652,3023.12
4213,8128,-390.54
4223,9775,-1107.16
4233,10171,293.11
4243,7881,-1961.37
4253,12678,3109.45
4263,8130,-370.46
4273,9635,-1281.92
4283,10340,473.79
4293,7905,-1794.03
4303,12491,2879.77
4313,8144,-459.56
4323,9531,-1337.09
4333,10489,721.20
4343,7943,-1600.76
4353,12456,2842.43
4363,8150,-524.10
4373,9517,-1379.92
4383,10536,765.50
4393,7944,-1595.25
4403,12281,2586.44
4413,8147,-613.12
4423,9472,-1359.05
4433,10610,940.00
4443,8014,-1407.83
4453,12191,2506.77
4463,8147,-683.71
4473,9541,-1263.72
4483,10711,1112.14
4493,8008,-1419.33
4503,12127,2320.39
4513,8143,-794.89
4523,9427,-1421.61
4533,10875,1294.19
4543,8050,-1258.56
4553,11774,1863.20
4563,8205,-887.25
4573,9503,-1154.05
4583,11029,1663.44
4593,8039,-1199.94
4603,11780,1771.37
4613,8269,-889.44
4623,9436,-1266.45
4633,11208,1797.60
4643,7920,-1334.23
4653,11323,1059.20
4664,8529,-726.24
4674,9482,-866.26
4684,11327,2092.95
4694,7840,-1418.95
4704,11378,1017.75
4714,8551,-702.50
4724,9499,-856.56
4734,11331,2058.06
4744,7873,-1430.17
4754,11396,1005.68
4764,8578,-712.79
4774,9516,-878.79
4784,11341,2023.40
4794,7807,-1555.54
4804,11240,761.12
4814,8709,-568.03
4824,9556,-667.57
4834,11340,2077.86
4844,7641,-1786.96
4854,11173,619.54
4864,8906,-238.63
4874,9566,-458.04
4884,11346,2072.82
4894,7478,-2058.70
4904,11090,429.66
4914,9065,10.10
4924,9631,-209.86
4934,11347,2082.75
4944,7216,-2476.80
4954,11039,228.25
4964,9225,312.86
4974,9611,-30.60
4984,11346,2082.55
4994,7096,-2660.13
5004,11064,219.30
5014,9253,425.35
5024,9667,98.69
5034,11346,2095.41
5044,6988,-2843.12
5054,11131,229.86
5064,9546,839.76
5074,9587,74.59
5084,11342,1870.22
5094,6894,-3116.13
5104,11121,125.91
5114,9696,1041.74
5124,9413,-70.15
5135,11344,1761.98
5145,6979,-2978.18
5155,11133,239.18
5165,9718,1079.58
5175,9263,-271.76
5185,11342,1702.29
5195,7005,-2864.70
5205,11188,406.54
5215,9715,1129.78
5225,9102,-489.26
5235,11346,1648.45
5245,7078,-2684.34
5255,11233,571.41
5265,9719,1148.66
5275,8937,-744.72
5285,11344,1559.41
5295,7132,-2548.14
5305,11258,695.62
5315,9716,1157.80
5325,8813,-932.22
5335,11345,1505.82
5345,7203,-2398.44
5355,11295,823.47
5365,9719,1159.57
5375,8615,-1230.36
5385,11322,1385.06
5395,7412,-2052.32
5405,11297,994.66
5415,9720,1105.17
5425,8285,-1734.85
5435,11457,1416.04
5445,7707,-1483.53
5455,11065,880.12
5465,9719,885.13
5475,8282,-1778.97
5485,11725,1794.72
5495,7893,-1153.26
5505,10950,629.08
5516,9727,587.23
5526,7854,-2452.42
5536,11920,1874.28
5546,7968,-794.10
5556,10655,401.81
5566,9725,494.06
5576,7797,-2363.95
5586,12013,2177.33
5596,7961,-610.32
5606,10680,490.47
5616,9728,523.74
5626,7786,-2377.13
5636,12009,2155.66
5646,8011,-566.72
5656,10623,410.13
5666,9729,452.72
5676,7779,-2413.02
5686,12024,2159.95
5696,8009,-576.82
5706,10518,258.18
5716,9732,412.26
5726,7770,-2370.88
5736,12111,2323.85
5746,8042,-474.48
5756,10492,208.19
5766,9730,348.67
5776,7769,-2396.01
5786,12207,2437.06
5796,8069,-423.47
5806,10304,-84.23
5816,9733,223.68
5826,7765,-2342.22
5836,12454,2827.39
5846,8117,-251.18
5856,10012,-552.62
5866,9830,114.10
5876,7770,-2236.24
5886,12508,2964.27
5896,8150,-190.40
5906,9740,-918.54
5916,10073,301.41
5926,7848,-1945.19
5936,12641,3156.70
5946,8157,-256.81
5956,9659,-1185.73
5966,10158,254.90
5976,7937,-1846.05
5986,12474,2917.49
5996,8122,-454.85
6006,9631,-1218.33
6016,10460,705.20
6027,7973,-1640.74
6037,12279,2567.94
6047,8181,-588.29
6057,9431,-1424.11
6067,10524,780.82
6077,7976,-1489.82
6087,12289,2671.70
6097,8174,-549.36
6107,9471,-1347.98
6117,10523,817.95
6127,8020,-1437.68
6137,12319,2705.71
6147,8176,-579.45
6157,9498,-1373.08
6167,10395,614.73
6177,7964,-1591.69
6187,12268,2662.02
6197,8182,-500.44
6207,9545,-1218.09
6217,10506,830.90
6227,7988,-1519.58
6237,12235,2562.07
6247,8176,-595.67
6257,9404,-1429.53
6267,10594,892.06
6277,8061,-1336.81
6287,11954,2251.68
6297,8155,-747.60
6307,9478,-1225.93
6317,10799,1327.68
6327,8076,-1207.65
6337,11753,1893.48
6347,8192,-878.34
6357,9440,-1219.08
6367,10949,1558.28
6377,8060,-1158.76
6387,11604,1631.53
6397,8242,-925.71
6407,9493,-1088.43
6417,11074,1768.17
6427,8027,-1194.33
6437,11504,1390.47
6447,8421,-802.53
6457,9522,-980.38
6467,11300,1990.56
6477,7832,-1488.65
6487,11341,931.32
6497,8535,-760.52
6507,9507,-852.51
6517,11342,2088.49
6527,7730,-1596.27
6537,11232,765.58
6547,8784,-411.15
6557,9588,-545.48
6567,11343,2081.52
6577,7607,-1878.23
6588,11152,540.25
6598,8967,-180.41
6608,9635,-351.95
6618,11343,2048.69
6628,7510,-2106.77
6638,11029,290.59
6648,8945,-214.83
6658,9639,-238.58
