timestamp,raw_adc,filtered_value
82514,12804,268.69
82524,11942,-476.85
82534,12792,252.83
82544,12824,756.96
82554,12217,-151.66
82564,12807,95.08
82574,12389,-131.61
82584,12787,168.29
82594,12822,341.12
82604,11778,-1072.28
82614,12812,-231.94
82624,12130,-310.78
82634,12791,313.01
82644,12825,639.73
82654,12320,-128.53
82664,12809,104.22
82674,12802,355.66
82684,12754,220.34
82694,12819,105.27
82704,12213,-725.75
82714,12806,-210.16
82724,12759,184.93
82734,12678,57.52
82744,12821,82.11
82754,12288,-556.51
82764,12812,-82.76
82774,12814,308.18
82784,12623,47.15
82794,12825,98.23
82804,11567,-1389.84
82815,12811,-197.22
82825,12816,793.70
82835,11897,-365.96
82845,12826,214.92
82855,11763,-536.69
82865,12816,426.83
82875,12818,1017.66
82885,12216,76.89
82895,12827,297.23
82905,11404,-1209.41
82915,12818,57.63
82925,12824,1004.92
82935,11896,-294.86
82945,12829,173.57
82955,12492,257.91
82965,12814,457.52
82975,12819,414.09
82985,12261,-490.19
82995,12823,-126.28
83005,12735,117.59
83015,12795,109.21
83025,12817,18.14
83035,12318,-684.94
83045,12822,-235.52
83055,12641,-62.21
83065,12809,99.50
83075,12818,134.44
83085,11531,-1515.22
83095,12821,-289.60
83105,12800,745.35
83115,12811,762.87
83125,12191,-331.14
83135,12103,-800.11
83145,12825,358.32
83155,12799,875.72
83165,12814,664.39
83175,11852,-857.89
83185,11971,-1139.34
83195,12822,420.92
83205,12800,1048.52
83215,12809,752.07
83225,11678,-1054.93
83236,12490,-542.12
83246,12824,643.46
83256,12799,819.37
83266,12810,457.24
83276,12509,-220.80
83286,12337,-653.57
83296,12822,3.64
83306,12800,316.63
83316,12808,195.58
83326,11877,-1143.26
83336,12774,-350.41
83346,12821,460.19
83356,12800,470.54
83366,12810,223.48
83376,12162,-730.02
83386,12793,-162.15
83396,12815,374.51
83406,12590,86.68
83416,12803,98.49
83426,12186,-603.40
83436,12759,-82.51
83446,12817,421.57
83456,12421,-76.06
83466,12804,103.59
83476,12479,-103.36
83486,12787,150.60
83496,12813,319.08
83506,11789,-1023.62
83516,12805,-155.01
83526,11965,-423.00
83536,12785,363.71
83546,12808,812.81
83556,11556,-886.60
83566,12801,55.05
83576,12816,938.69
83586,12782,816.79
83596,12813,434.35
83606,12339,-407.06
83616,12797,-94.52
83626,12201,-539.74
83636,12765,-55.14
83646,12812,331.87
83656,11920,-826.23
83666,12796,-148.43
83676,12711,380.77
83686,12788,434.85
83696,12810,288.09
83706,11687,-1249.10
83717,12799,-242.66
83727,12822,669.82
83737,12661,455.78
83747,12811,274.06
83757,11213,-1781.78
83767,12800,-283.50
83777,12826,1011.06
83787,12340,378.87
83797,12814,381.75
83807,11660,-934.11
83817,12800,86.14
83827,12828,889.89
83837,11709,-620.51
83847,12815,74.14
83857,12356,193.15
83867,12797,534.38
83877,12824,590.98
83887,11608,-1135.49
83897,12817,-177.69
83907,12708,557.94
83917,12796,573.60
83927,12830,333.60
83937,11416,-1627.23
83947,12819,-365.30
83957,12470,311.98
83967,12743,537.93
83977,12830,531.25
83987,12443,-110.08
83997,12815,73.65
84007,12810,252.28
84017,12497,-218.53
84027,12826,-43.76
84037,12048,-837.38
84047,12814,-125.16
84057,12816,425.50
84067,12245,-321.95
84077,12825,44.29
84087,12287,-261.49
84097,12817,220.78
84107,12820,495.05
84117,12461,-59.64
84127,12825,106.21
84137,11894,-869.04
84148,12815,-21.34
84158,12817,624.15
84168,11957,-514.01
84178,12825,69.77
84188,12465,181.55
84198,12812,457.97
84208,12818,487.52
84218,12352,-265.28
84228,12823,20.21
84238,12782,244.41
84248,12811,199.29
84258,12803,44.35
84268,11944,-1126.74
84278,12830,-285.73
84288,12696,263.30
84298,12819,374.81
84308,12763,181.24
84318,12030,-868.31
84328,12833,-92.29
84338,12807,503.43
84348,12820,468.88
84358,12602,-30.97
84368,12157,-780.88
84378,12832,13.51
84388,12803,502.12
84398,12811,413.30
84408,12564,-116.29
84418,11617,-1479.02
84428,12828,-117.82
84438,12802,831.90
84448,12813,754.70
84458,11859,-788.63
84468,11553,-1616.81
84478,12833,377.15
84488,12808,1370.28
84498,12815,1074.79
84508,11975,-489.55
84518,12719,-66.19
84528,12828,610.04
84538,12801,553.62
84548,12809,221.73
84558,12267,-680.95
84568,12785,-279.50
84578,12817,152.97
84588,12728,31.97
84598,12812,-50.83
84609,12310,-694.63
84619,12788,-243.08
84629,12823,200.32
84639,12613,-36.02
84649,12811,27.81
84659,12157,-688.02
84669,12795,-70.71
84679,12824,458.37
84689,12712,307.44
84699,12807,201.45
84709,12071,-750.59
84719,12790,-89.25
84729,12817,501.76
84739,12383,-58.28
84749,12809,132.96
84759,12216,-386.56
84769,12794,130.05
84779,12823,512.93
84789,11543,-1155.66
84799,12810,-118.61
84809,12615,577.95
84819,12790,707.63
84829,12817,532.24
84839,11747,-1013.59
84849,12806,-128.65
84859,12737,572.35
84869,12781,547.63
84879,12816,310.28
84889,11380,-1653.91
84899,12802,-355.39
84909,12829,814.40
84919,12657,586.29
84929,12823,337.85
84939,12167,-588.44
84949,12807,-51.87
84959,12830,420.83
84969,12240,-374.74
84979,12821,-31.50
84989,11356,-1494.62
84999,12805,-100.60
85009,12833,996.37
85019,12151,83.67
85029,12826,323.81
85039,12033,-355.16
85049,12806,300.10
85059,12836,741.72
85069,11837,-657.21
85080,12822,-2.32
85090,12276,-46.30
85100,12802,388.84
85110,12834,565.60
85120,11574,-1176.14
85130,12820,-183.33
85140,12552,392.80
85150,12795,574.44
85160,12831,469.74
85170,12172,-552.07
85180,12818,-86.10
85190,12350,-229.10
85200,12729,65.28
85210,12824,343.03
85220,11389,-1480.62
85230,12819,-231.49
85240,12803,840.59
85250,12632,594.34
85260,12824,400.27
85270,11683,-1107.53
85280,12809,-104.54
85290,12818,740.97
85300,12354,93.34
85310,12825,204.96
85320,12338,-227.47
85330,12803,137.35
85340,12816,373.40
85350,11774,-1027.43
85360,12829,-166.60
85370,12580,293.86
85380,12807,472.41
85390,12818,385.90
85400,11443,-1489.79
85410,12822,-254.17
85420,12647,608.09
85430,12801,721.31
85440,12809,478.51
85450,12270,-418.39
85460,12815,-14.73
85470,12792,318.49
85480,12801,250.78
85491,12812,78.13
85501,12356,-600.47
85511,12818,-195.32
85521,12790,125.86
85531,12801,117.95
85541,12640,-188.89
85551,11741,-1400.81
85561,12820,-199.07
85571,12790,670.61
85581,12804,650.03
85591,12570,76.10
85601,12326,-454.56
85611,12813,157.08
85621,12786,476.81
85631,12802,371.43
85641,12533,-159.29
85651,12017,-987.25
85661,12824,-15.40
85671,12803,589.85
85681,12811,492.96
85691,12230,-491.70
85701,12052,-1005.96
85711,12821,189.05
85721,12798,771.65
85731,12812,601.02
85741,11614,-1190.34
85751,12669,-348.59
85761,12818,733.36
85771,12795,784.84
85781,12806,425.58
85791,11386,-1592.69
85801,12792,-317.26
85811,12818,840.07
85821,12725,699.82
85831,12807,357.41
85841,11964,-876.73
85851,12694,-278.81
85861,12817,472.67
85871,12746,420.82
85881,12803,200.94
85891,12065,-853.77
85901,12786,-215.72
85911,12822,395.34
85922,11914,-740.77
85932,12804,-86.74
85942,12418,59.33
85952,12790,403.09
85962,12816,509.71
85972,11742,-965.21
85982,12802,-96.59
85992,11850,-492.79
86002,12785,384.93
86012,12813,901.88
86022,12595,462.20
86032,12803,325.00
86042,11996,-720.54
86052,12787,-58.11
86062,12814,509.25
86072,11539,-1148.62
86082,12800,-175.00
86092,12823,760.43
86102,12739,625.95
86112,12772,274.64
86122,12033,-829.07
86132,12801,-135.83
86142,12801,437.36
86152,12751,314.93
86162,12798,114.63
86172,12504,-353.38
86182,12795,-116.85
86192,12825,126.24
86202,12627,-138.24
86212,12816,-61.62
86222,12166,-767.93
86232,12797,-156.33
86242,12829,380.77
86252,12038,-595.72
86262,12809,-13.90
86272,12070,-378.67
86282,12794,318.65
86292,12824,757.68
86302,11806,-624.81
86312,12810,96.64
86322,12777,729.75
86333,12786,653.60
86343,12823,386.43
86353,11244,-1776.35
86363,12813,-351.52
86373,12816,891.45
86383,12760,786.25
86393,12824,404.14
86403,11240,-1784.72
86413,12810,-339.93
86423,12812,912.10
86433,12745,788.82
86443,12818,409.19
86453,11841,-1021.54
86463,12808,-176.01
86473,12812,559.62
86483,12190,-271.13
86493,12816,46.39
86503,12446,-67.86
86513,12807,228.36
86523,12814,345.26
86533,11582,-1306.28
86543,12829,-222.21
86553,11383,-1063.17
86563,12807,313.55
86573,12810,1186.34
86583,12206,263.15
86593,12814,421.71
86603,11807,-600.47
86613,12809,248.71
86623,12812,826.98
86633,12524,288.41
86643,12814,201.37
86653,12753,132.88
86663,12809,72.78
86673,12814,-25.60
86683,12388,-656.58
86693,12821,-293.68
86703,12793,3.84
86713,12808,16.23
86723,12811,-59.06
86733,11775,-1379.82
86743,12815,-342.96
86753,12647,341.13
86763,12804,525.89
86773,12804,412.20
86783,11792,-985.16
86793,12817,-55.90
86803,12785,699.60
86813,12804,667.87
86823,12767,326.65
86833,11630,-1290.49
86843,12815,-175.94
86853,12791,723.36
86863,12803,676.04
86873,12632,120.42
86883,11357,-1716.56
86894,12815,-210.82
86904,12790,929.59
86914,12805,863.40
86924,11798,-812.03
86934,11315,-1918.93
86944,12825,331.12
86954,12799,1511.32
86964,12808,1202.90
86974,12356,49.90
86984,12338,-416.96
86994,12821,285.13
87004,12789,519.98
87014,12809,297.34
87024,11696,-1348.33
87034,12782,-423.40
87044,12816,487.39
87054,12749,411.92
87064,12800,149.72
87074,12325,-575.32
87084,12665,-322.56
87094,12817,196.15
87104,12520,-80.12
87114,12808,53.73
87124,12053,-757.21
87134,12785,-74.47
87144,12816,507.32
87154,12614,232.77
87164,12808,196.80
87174,11427,-1495.01
87184,12794,-199.58
87194,12821,908.49
87204,11618,-611.56
87214,12811,168.61
87224,12649,728.80
87234,12794,785.90
87244,12820,566.81
87254,11624,-1168.77
87264,12803,-192.98
87274,12568,388.95
87284,12784,532.75
87295,12808,392.72
87305,11231,-1764.88
87315,12801,-358.51
87325,12639,678.39
87335,12783,787.97
87345,12813,517.54
87355,12367,-284.52
87365,12796,-17.92
87375,12822,277.42
87385,12434,-269.27
87395,12812,-82.23
87405,11202,-1871.19
87415,12791,-331.10
87425,12818,952.14
87435,12201,175.44
87445,12808,343.93
87455,11934,-488.11
87465,12796,271.42
87475,12827,813.64
87485,11427,-1070.84
87495,12816,-36.22
87505,12342,334.74
